,Date,Unix,Ticker,Debt Equity Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Difference Stocl,Difference stock
97,2006-08-22 06:44:05,1156254245.0,acn,0.034,28.57,9.045801526717561,1298.819946,9.32827828282829,-0.28247675611072864,9.045801526717561,-0.28247675611072864
98,2006-11-02 16:40:55,1162510855.0,acn,0.027,32.96,25.80152671755726,1367.339966,15.095956734006736,10.705569983550523,25.80152671755726,10.705569983550523
99,2007-03-14 19:10:39,1173924639.0,acn,0.018,35.39,35.076335877862604,1387.170044,16.765155218855217,18.311180659007388,35.076335877862604,18.311180659007388
100,2007-06-05 04:17:34,1181042254.0,acn,0.015,41.24,57.40458015267177,1530.949951,28.867840993265997,28.536739159405773,57.40458015267177,28.536739159405773
101,2007-07-06 07:06:36,1183730796.0,acn,0.015,42.81,63.39694656488552,1530.439941,28.824910858585866,34.57203570629965,63.39694656488552,34.57203570629965
102,2008-04-07 01:42:51,1207557771.0,acn,0.004,36.77,40.3435114503817,1372.540039,15.533673316498314,24.80983813388338,40.3435114503817,24.80983813388338
103,2008-12-02 16:28:13,1228264093.0,acn,0.003,29.98,14.427480916030538,848.8099980000001,-28.551346969696965,42.978827885727505,14.427480916030538,42.978827885727505
104,2011-09-01 16:51:37,1314921097.0,acn,0.11,53.62,104.6564885496183,1204.420044,1.3821585858585828,103.27432996375973,104.6564885496183,103.27432996375973
105,2011-11-08 00:40:19,1320741619.0,acn,0.1,58.0,121.37404580152673,1275.920044,7.400677104377102,113.97336869714964,121.37404580152673,113.97336869714964
106,2012-02-29 00:47:01,1330505221.0,acn,0.15,59.76,128.0916030534351,1365.680054,14.956233501683498,113.13536955175161,128.0916030534351,113.13536955175161
107,2013-04-23 04:45:22,1366717522.0,acn,0.0,74.94,186.03053435114504,1578.780029,32.89394183501684,153.1365925161282,186.03053435114504,153.1365925161282
108,2013-05-10 03:17:29,1368181049.0,acn,0.0,80.09,205.68702290076337,1633.699951,37.516830892255896,168.17019200850746,205.68702290076337,168.17019200850746
109,2004-11-12 17:19:37,1100308777.0,adbe,0.0,58.1,0.0,1184.170044,0.0,0.0,0.0,0.0
110,2005-02-07 16:20:07,1107822007.0,adbe,0.0,63.67,9.586919104991393,1201.719971,1.4820444993455708,8.104874605645822,9.586919104991393,8.104874605645822
111,2005-04-05 04:12:22,1112699542.0,adbe,0.0,66.58,14.595524956970735,1181.390015,-0.23476602993683002,14.830290986907565,14.595524956970735,14.830290986907565
112,2005-08-31 10:51:30,1125510690.0,adbe,0.0,27.12,-53.32185886402754,1220.329956,3.053608067795378,-56.37546693182292,-53.32185886402754,-56.37546693182292
113,2006-02-21 13:18:21,1140556701.0,adbe,0.0,37.8,-34.939759036144586,1283.030029,8.348461903837864,-43.28822093998245,-34.939759036144586,-43.28822093998245
114,2006-04-07 10:36:37,1144431397.0,adbe,0.0,36.1,-37.8657487091222,1295.5,9.401517675952968,-47.26726638507517,-37.8657487091222,-47.26726638507517
115,2008-12-04 14:30:57,1228429857.0,adbe,0.08,22.54,-61.204819277108435,845.2199710000001,-28.623429102720984,-32.58139017438745,-61.204819277108435,-32.58139017438745
116,2008-12-05 00:15:55,1228464955.0,adbe,0.08,20.44,-64.81927710843372,876.070007,-26.018225892564455,-38.801051215869265,-64.81927710843372,-38.801051215869265
117,2008-12-17 11:42:55,1229542975.0,adbe,0.08,22.32,-61.58347676419965,904.419983,-23.62414607745304,-37.95933068674661,-61.58347676419965,-37.95933068674661
118,2011-08-05 04:11:46,1312542706.0,adbe,28.17,26.15,-54.99139414802065,1199.380005,1.2844406153547336,-56.275834763375386,-54.99139414802065,-56.275834763375386
119,2011-10-18 13:47:26,1318970846.0,adbe,27.25,26.24,-54.836488812392425,1225.380005,3.4800712286891815,-58.31656004108161,-54.836488812392425,-58.31656004108161
120,2012-07-02 04:31:22,1341228682.0,adbe,24.76,32.37,-44.28571428571429,1365.51001,15.313676183485688,-59.59939046919998,-44.28571428571429,-59.59939046919998
121,2004-01-20 06:29:18,1074608958.0,adi,0.0,50.5,0.0,1138.77002,0.0,0.0,0.0,0.0
